z,x,y
0.5854254812002182,47,2
0.5809543877840042,48,2
0.5809235647320747,49,2
0.5787317082285881,50,2
0.5789417549967766,51,2
0.5813090652227402,52,2
0.5916663706302643,53,2
0.596504844725132,54,2
0.5994607135653496,55,2
0.6031131520867348,56,2
0.6065539643168449,57,2
0.6136762425303459,58,2
0.6217502281069756,59,2
0.6317324787378311,60,2
0.6339436769485474,61,2
0.6347161680459976,62,2
0.635722205042839,63,2
0.6398844420909882,64,2
0.6404505372047424,65,2
0.640395313501358,66,2
0.6422526091337204,67,2
0.650862380862236,68,2
0.661756619811058,69,2
0.6814828366041183,70,2
0.6915661990642548,71,2
0.697632685303688,72,2
0.7009748816490173,73,2
0.7083244770765305,74,2
0.7144170552492142,75,2
0.721473291516304,76,2
0.7217051088809967,77,2
0.7218472957611084,78,2
0.7277221381664276,79,2
0.7311733216047287,80,2
0.7348234802484512,81,2
0.7371249794960022,82,2
0.7350871413946152,83,2
0.7320347726345062,84,2
0.7284819334745407,85,2
0.7276957631111145,86,2
0.7225400060415268,87,2
0.7194377928972244,88,2
0.7183849215507507,89,2
0.7221203595399857,90,2
0.7133607119321823,91,2
0.7115673124790192,92,2
0.7063211798667908,93,2
0.6980755031108856,94,2
0.6918203979730606,95,2
0.6838662624359131,96,2
0.6747114807367325,97,2
0.6657562255859375,98,2
0.659156396985054,99,2
0.655717208981514,100,2
0.6570143103599548,101,2
0.6508277058601379,102,2
0.641039103269577,103,2
0.6371685415506363,104,2
0.6325411200523376,105,2
0.6317782551050186,106,2
0.6339897960424423,107,2
0.6371085047721863,108,2
0.6459490805864334,109,2
0.6578041017055511,110,2
0.6663755625486374,111,2
0.6687250882387161,112,2
0.6657124906778336,113,2
0.6612060964107513,114,2
0.6584903448820114,115,2
0.6558592617511749,116,2
0.6541982442140579,117,2
0.644873633980751,118,2
0.6372022330760956,119,2
0.6325409859418869,120,2
0.6257053315639496,121,2
0.6166156679391861,122,2
0.6085748746991158,123,2
0.6102053001523018,124,2
0.6228009462356567,125,2
0.6226262971758842,126,2
0.6132465451955795,127,2
0.6112961918115616,128,2
